home_team,away_team,simulations_observed,lambda_home_raw,lambda_away_raw,lambda_home_dedrifted_raw,lambda_away_dedrifted_raw,sd_home_dedrifted,sd_away_dedrifted,se_home_dedrifted,se_away_dedrifted,regularization_weight,lambda_home_dedrifted,lambda_away_dedrifted,lambda_home_fm,lambda_away_fm,lambda_total_raw,lambda_total_fm
Atalanta,Bologna,70,1.2428571428571429,1.1857142857142857,1.238294822306693,1.1919687819081415,1.0615383242719965,0.9571291327401937,0.12687809750747808,0.1143988122278496,0.014084507042253521,1.2413931261251039,1.1925954060074144,1.2414056955829973,1.1926095922832716,2.428571428571429,2.434015287866269
Atalanta,Cagliari,68,1.088235294117647,0.75,1.0882638771328816,0.740568483337605,1.1444703750978735,0.8688374732644653,0.1387874188799646,0.10536201981659266,0.014492753623188406,1.0936263483833308,0.7477553037668648,1.0936374216606415,0.7477641985378487,1.838235294117647,1.8414016201984902
Atalanta,Como,70,1.457142857142857,0.9857142857142858,1.4657488548827724,0.9952020858692663,1.3901954127040879,1.2668160407999356,0.16616013298293603,0.15141347747278094,0.014084507042253521,1.4656435807775767,0.9986000718845798,1.465658420834999,0.9986119505284344,2.442857142857143,2.4642703713634333
Atalanta,Cremonese,70,1.4142857142857144,0.6714285714285714,1.4185943877684606,0.6710983511134666,1.1684776941592483,0.8508406241497957,0.1396597969428217,0.10169490559677677,0.014084507042253521,1.41915326108741,0.6790611784633689,1.4191676304171446,0.6790692560973703,2.085714285714286,2.098236886514515
Atalanta,Fiorentina,70,1.1428571428571428,1.1142857142857143,1.1421815944353462,1.109820666096016,1.0839508016879467,0.9633725585412616,0.12955690092883856,0.11514504434161887,0.014084507042253521,1.1466336056885649,1.1116043059109526,1.146645215679407,1.1116175287736672,2.257142857142857,2.258262744453074
Atalanta,Genoa,69,1.5507246376811594,0.9710144927536232,1.544023948334898,0.9675401413508045,0.9588637916696664,0.9231681068000087,0.11543363555320807,0.11113638007869354,0.014285714285714285,1.5427989546931693,0.9713818406594575,1.5428145759706604,0.9713933955343839,2.5217391304347827,2.5142079715050443
Atalanta,Hellas Verona,70,1.9,0.6571428571428571,1.8991505300282403,0.6514073611991602,1.28263941226964,0.811824216578647,0.1533047321004526,0.09703155294052798,0.014084507042253521,1.8929410069773338,0.6596475264351794,1.8929601735425265,0.6596553731380355,2.557142857142857,2.552615546680562
Atalanta,Inter,70,0.9571428571428572,1.3142857142857143,0.9508676988624442,1.3274385473455887,0.9679380410337913,1.1147492691280492,0.11569072387066756,0.13323802186964498,0.014084507042253521,0.9580142720251403,1.3261571465795456,0.958023972191671,1.3261729216118965,2.2714285714285714,2.2841968938035677
Atalanta,Juventus,70,1.7428571428571429,1.1571428571428573,1.745475188307438,1.1535160396492,1.2457057230949684,1.1519654954230234,0.14889031190546942,0.1376862117095666,0.014084507042253521,1.7414301066892188,1.1546842516676128,1.741447739163525,1.1546979869790517,2.9000000000000004,2.896145726142577
Atalanta,Lazio,70,1.3857142857142857,0.9714285714285714,1.3862085937770707,0.9801234139989812,1.0263939886881848,0.9004724111683567,0.12267754597289604,0.10762703877447433,0.014084507042253521,1.3872236050395608,0.9837337756744395,1.3872376510724613,0.9837454774792942,2.357142857142857,2.3709831285517557
