simulation_id,normalized_home_mean,normalized_away_mean
1,1.4582743934138784,1.236459092956528
2,1.4582743934138787,1.2364590929565284
3,1.4582743934138784,1.2364590929565282
4,1.4582743934138784,1.2364590929565282
5,1.4582743934138782,1.2364590929565282
6,1.4582743934138787,1.2364590929565282
7,1.4582743934138784,1.2364590929565282
8,1.4582743934138784,1.2364590929565282
9,1.4582743934138787,1.2364590929565282
10,1.4582743934138787,1.2364590929565284
11,1.4582743934138787,1.2364590929565282
12,1.4582743934138784,1.2364590929565282
13,1.4582743934138782,1.2364590929565282
14,1.4582743934138784,1.2364590929565282
15,1.4582743934138787,1.2364590929565284
16,1.4582743934138782,1.2364590929565282
17,1.4582743934138784,1.2364590929565282
18,1.4582743934138784,1.2364590929565282
19,1.4582743934138782,1.2364590929565284
20,1.4582743934138784,1.236459092956528
21,1.4582743934138787,1.236459092956528
22,1.4582743934138782,1.2364590929565282
23,1.4582743934138782,1.2364590929565282
24,1.4582743934138784,1.2364590929565282
25,1.4582743934138784,1.2364590929565282
26,1.4582743934138787,1.2364590929565282
27,1.4582743934138787,1.236459092956528
28,1.4582743934138784,1.2364590929565282
29,1.4582743934138787,1.2364590929565282
30,1.4582743934138782,1.2364590929565282
31,1.4582743934138787,1.2364590929565282
32,1.4582743934138782,1.2364590929565282
33,1.4582743934138787,1.2364590929565282
34,1.4582743934138787,1.2364590929565282
35,1.4582743934138787,1.2364590929565282
36,1.4582743934138787,1.2364590929565282
37,1.4582743934138782,1.2364590929565282
38,1.4582743934138787,1.2364590929565282
39,1.4582743934138782,1.2364590929565282
40,1.4582743934138787,1.2364590929565282
41,1.4582743934138787,1.2364590929565282
42,1.4582743934138782,1.2364590929565282
43,1.4582743934138787,1.2364590929565282
44,1.4582743934138782,1.2364590929565282
45,1.4582743934138782,1.2364590929565282
46,1.4582743934138787,1.2364590929565282
47,1.4582743934138782,1.2364590929565282
48,1.4582743934138782,1.2364590929565282
49,1.4582743934138787,1.2364590929565282
50,1.4582743934138787,1.2364590929565282
51,1.4582743934138782,1.2364590929565282
52,1.4582743934138787,1.2364590929565282
53,1.4582743934138782,1.2364590929565284
54,1.4582743934138787,1.236459092956528
55,1.4582743934138787,1.2364590929565282
56,1.4582743934138787,1.2364590929565282
57,1.4582743934138782,1.2364590929565282
58,1.4582743934138787,1.2364590929565282
59,1.4582743934138787,1.2364590929565282
60,1.4582743934138782,1.2364590929565282
61,1.4582743934138787,1.2364590929565282
62,1.4582743934138787,1.2364590929565282
63,1.4582743934138787,1.2364590929565282
64,1.4582743934138787,1.2364590929565282
65,1.4582743934138782,1.2364590929565282
66,1.4582743934138782,1.2364590929565282
67,1.4582743934138782,1.2364590929565284
68,1.4582743934138782,1.2364590929565282
69,1.4582743934138787,1.2364590929565282
70,1.4582743934138782,1.2364590929565282
