simulation_id,matches,fm_home_mean_simulation,fm_away_mean_simulation
1,379,1.4538258575197889,1.187335092348285
2,377,1.4058355437665782,1.2360742705570291
3,378,1.462962962962963,1.3386243386243386
4,377,1.5225464190981433,1.1803713527851458
5,380,1.5105263157894737,1.2815789473684212
6,380,1.3789473684210527,1.2526315789473683
7,379,1.4142480211081794,1.1899736147757256
8,379,1.3509234828496042,1.2137203166226913
9,380,1.4289473684210525,1.263157894736842
10,380,1.5526315789473684,1.194736842105263
11,380,1.5,1.35
12,379,1.4934036939313984,1.3482849604221636
13,380,1.4842105263157894,1.3210526315789475
14,379,1.4511873350923483,1.1635883905013193
15,380,1.5289473684210526,1.2868421052631578
16,380,1.5157894736842106,1.1789473684210525
17,379,1.4881266490765173,1.2585751978891822
18,379,1.4089709762532983,1.229551451187335
19,380,1.5263157894736843,1.2868421052631578
20,379,1.4168865435356202,1.2902374670184698
21,380,1.4,1.2078947368421054
22,380,1.4473684210526316,1.2473684210526317
23,380,1.3868421052631579,1.1973684210526316
24,379,1.4591029023746702,1.2427440633245384
25,378,1.4867724867724867,1.2619047619047619
26,380,1.4026315789473685,1.0763157894736841
27,380,1.486842105263158,1.2078947368421054
28,379,1.4775725593667546,1.237467018469657
29,380,1.4210526315789473,1.2526315789473683
30,380,1.4078947368421053,1.1921052631578948
31,380,1.4263157894736842,1.231578947368421
32,380,1.4842105263157894,1.2736842105263158
33,380,1.5,1.2526315789473683
34,380,1.436842105263158,1.231578947368421
35,380,1.4789473684210526,1.2657894736842106
36,380,1.5315789473684212,1.2131578947368422
37,380,1.4710526315789474,1.2894736842105263
38,380,1.394736842105263,1.1789473684210525
39,380,1.4842105263157894,1.1263157894736842
40,380,1.518421052631579,1.305263157894737
41,380,1.4894736842105263,1.1736842105263159
42,380,1.3289473684210527,1.1289473684210527
43,380,1.4236842105263159,1.1342105263157896
44,380,1.4052631578947368,1.2157894736842105
45,380,1.4842105263157894,1.1368421052631579
46,380,1.45,1.181578947368421
47,380,1.4421052631578948,1.263157894736842
48,380,1.4657894736842105,1.2894736842105263
49,380,1.4947368421052631,1.2736842105263158
50,380,1.5,1.268421052631579
51,380,1.4605263157894737,1.236842105263158
52,380,1.4394736842105262,1.2
53,380,1.268421052631579,1.2342105263157894
54,380,1.3973684210526316,1.168421052631579
55,380,1.513157894736842,1.2552631578947369
56,380,1.5447368421052632,1.2894736842105263
57,380,1.5157894736842106,1.2605263157894737
58,380,1.4736842105263157,1.2210526315789474
59,380,1.4210526315789473,1.3
60,380,1.4526315789473685,1.2131578947368422
61,380,1.4710526315789474,1.1605263157894736
62,380,1.486842105263158,1.3026315789473684
63,380,1.4026315789473685,1.2
64,380,1.4684210526315788,1.2289473684210526
65,380,1.4921052631578948,1.2447368421052631
66,380,1.5236842105263158,1.2973684210526315
67,380,1.4973684210526317,1.2921052631578946
68,380,1.4710526315789474,1.3710526315789473
69,380,1.4552631578947368,1.3157894736842106
70,380,1.4421052631578948,1.15
